rank,title,description,date
28,近畿圏新築マンション、2013年9月以来の大量供給,（株）不動産経済研究所は1月22日、2019年12月度「近畿圏のマンション市場動向」を発表した。,2020年1月24日 (金)
29,お墓は必要？ 将来どうする？ 漫画で「墓活（はかかつ）」を考えよう,お墓って、先祖代々のもの。自分もそこに入り、子孫が弔ってくれるってイメージ。でも、「子どもは女子だけで嫁いで姓も変わってしまった」「お墓が田舎にあって管理が難しい」「一生独身を...,2020年1月24日 (金)
30,テレワークが変えた暮らし[6]湘南で見つけた新しい生き方。「サーフィンを…,テレワーク（リモートワーク）を利用すると、出勤準備や通勤にあてていた時間が自由に使えるようになります。その時間で、サーフィンや畑などのやってみたかったことを始め、ついには新しい...,2020年1月23日 (木)
31,テレワークが住まいを変える！？2020年の住まいトレンドは「職住融合」,近年恒例となった、リクルートホールディングスの「2020年のトレンド予測」が発表された。これは、住まい・飲食・雇用など7領域の「新たな兆し」を見出して、2020年のトレンドになると予測し...,2020年1月22日 (水)
32,女性の物件選び、こだわり1位は「風呂・トイレ別」,（株）エコラボ・デザインハウスはこのほど、全国20代～30代女性を対象に「住みたい物件の条件」に関する意識調査を行った。調査は2019年12月12日（木）・13日（金）にインターネットで実施...,2020年1月21日 (火)
33,令和時代の理想のパパ像、1位は「つるの剛士さん」,（株）東北新社が運営する「家men総合研究所」は、男性の家事・育児に対する意識や令和時代のパパの実態についてアンケート調査を行った。,2020年1月21日 (火)
34,渋谷で公園・ホテル等の一体開発、街区名は「MIYASHITA PARK」に,渋谷区渋谷一丁目及び神宮前六丁目で進められてきた「（仮称）新宮下公園等整備事業」（東京都渋谷区）の街区名が、このたび「MIYASHITA PARK」に決定した。竣工は2020年4月、グランドオープ...,2020年1月21日 (火)
35,高架下商業空間「日比谷ＯＫＵＲＯＪＩ」、6月下旬にオープン,（株）ジェイアール東日本都市開発は本年6月下旬、JR「有楽町駅」～「新橋駅間」の高架下空間に「日比谷ＯＫＵＲＯＪＩ」（東京都千代田区）を開業する。,2020年1月21日 (火)
36,横浜北仲エリアの複合施設、4月に完成,横浜北仲エリアの新たなランドマークとして開発が進んできた複合施設「（仮称）馬車道駅直結 横浜北仲タワープロジェクト」が、本年4月に完成する。,2020年1月21日 (火)
37,名古屋で商業施設とオフィスビルを一体整備、NTT都市開発,NTT都市開発（株）は、名古屋市東区で開発を進めている建物名称を「アーバンネット名古屋ネクスタビル」に決定し、このたび新築工事に着手した。,2020年1月21日 (火)
38,“暖房をつけても寒い”は家に問題が！ 解決策は「住まいの温活」,寒さが本格化するこの季節。思わず暖房をガンガン効かせたくなるけど、光熱費がかさむし、地球にも優しくない。そこで考えたいのが、住まいそのものを寒さから守ること。外の寒さを閉め出し...,2020年1月21日 (火)
39,「東京23区の家賃相場が安い駅ランキング 2019年版」「家賃がマイホー…,新しい年がはじまりました。今年の目標に、家の引越しや購入を考える人も多いのでは。SUUMOジャーナルで昨年12月に公開した記事では、そんな人にも改めて参考になる「東京23区の家賃相場が安...,2020年1月20日 (月)
40,冬の暮らし、最も困ることは「光熱費があがる」,（株）リクルート住まいカンパニーが運営する不動産・住宅情報サイト「SUUMO（スーモ）」は、このたび「暮らしにおける冬の寒さ対策」をテーマにアンケート・調査を行い、その結果を発表した...,2020年1月17日 (金)
41,神宮前六丁目の再開発事業、都より権利変換認可,神六再開発（株）と東急不動産（株）は、共に進めている「神宮前六丁目地区第一種市街地再開発事業」において、2020年1月9日付で東京都知事より権利変換計画の認可を受けた。,2020年1月17日 (金)
42,首都圏の住宅地価格、「値上がり地点」と「値下がり地点」が増加,野村不動産アーバンネット（株）は1月14日、2020年1月1日時点における首都圏「住宅地価格動向」の調査結果を発表した。,2020年1月17日 (金)
43,首都圏中古マンション成約件数、3ヶ月連続減少,（公財）東日本不動産流通機構（東日本レインズ）は1月15日、首都圏の2019年12月度・不動産流通市場の動向を発表した。,2020年1月17日 (金)
44,12月の分譲マンション賃料、首都圏は3ヵ月連続上昇,（株）東京カンテイは1月16日、2019年12月度「三大都市圏・主要都市別／分譲マンション賃料月別推移」を発表した。,2020年1月17日 (金)
45,19年の首都圏分譲マンション賃料、前年比4.5%上昇,（株）東京カンテイはこのたび、2019年「三大都市圏・主要都市別/分譲マンション賃料推移」を発表した。,2020年1月17日 (金)
46,”アート後進国”日本を変える？ 絵画サブスクのある暮らしとは,ZOZO創業者の前澤友作氏によるバスキアの絵画購入や、「美意識」をテーマにしたビジネス書がベストセラーになるなどの影響で、最近アートに関心をもつ人が増えている。その一方で、日本は諸...,2020年1月17日 (金)
47,移住者をドラフト会議で指名!? 南九州の移住支援がおもしろい！,2014年、「地方創生」の掛け声のもと、日本全国で移住相談窓口やHP開設など移住支援施策が活発化した。それから5年が経過し、地域によって成果の明暗は分かれつつある。いまだ多くの人にとっ...,2020年1月16日 (木)
48,中古住宅買取再販市場が急成長！その理由は？メリットや注意点は？,矢野経済研究所が、中古住宅買取再販市場の市場規模を予測した。住宅市場の縮小が懸念されるなか、中古住宅買取再販市場については大幅に拡大すると予測している。市場はなぜ大きく成長する...,2020年1月15日 (水)
49,単身者の約6割、「家の広さより利便性を優先」,日鉄興和不動産（株）（東京都港区）は、（株）オカムラ（神奈川県横浜市）と共同で「働き方改革における単身者の生活変化の実態調査」を行った。調査結果は、首都圏の30歳～49歳男女300サン...,2020年1月14日 (火)
50,福岡市「旧大名小学校跡地」の再開発が認定,国土交通省は1月10日、都市再生特別措置法の規定に基づき、民間都市再生事業計画「旧大名小学校跡地活用事業」（福岡市中央区大名二丁目）を認定した。,2020年1月14日 (火)
51,白金の旧耐震マンションを建替え、旭化成不動産レジデンス,旭化成不動産レジデンス（株）が参画する「日興パレス白金マンション建替組合」（東京都港区白金台）が、2019年12月9日、港区より権利変換計画の認可を受けた。,2020年1月14日 (火)
52,地域密着型商業施設「SOCOLA」、東京・稲城市に第一弾,野村不動産（株）はこのたび、商業事業における新ブランド「SOCOLA（ソコラ）」シリーズを展開すると発表した。,2020年1月14日 (火)
53,「HARUMI FLAG」新街区、1月11日より事前案内会,三井不動産レジデンシャル（株）、三菱地所レジデンス（株）、野村不動産（株）などディベロッパー10社は、1月11日（土）より、「HARUMI FLAG」（東京・晴海）の新街区「SUN VILLAGE」第1期...,2020年1月10日 (金)
